Day,Temperature,Outlook,Humidity,Windy,PlayGolf
07-05,hot,sunny,high,false,no
07-06,hot,sunny,high,true,no
07-07,hot,overcast,high,false,yes
07-09,cool,rain,normal,false,yes
07-10,cool,overcast,normal,true,yes
07-12,mild,sunny,high,false,no
07-14,cool,sunny,normal,false,yes
07-15,mild,rain,normal,false,yes
07-20,mild,sunny,normal,true,yes
07-21,mild,overcast,high,true,yes
07-22,hot,overcast,normal,false,yes
07-23,mild,rain,high,true,no
07-26,cool,rain,normal,true,no
07-30,mild,rain,high,false,yes